ID,library_ID,Layer,Latitude(N),Longtitude(E),Altitude(m),AGB g/m2,BGB g/m2,SWC,DOC(mg/kg),DON(mg/kg),NH4-N(mg/kg),NO3-N(mg/kg),AP£¨mg/kg£©,pH,SOC(g/kg),TN(g/kg),TP(g/kg),C/N,MAP(mm),MAT(¡æ)
QZ71,304,topsoil,36.5705,98.7012,3557,10.97,128.86,0.05,99.73,285.36,23.5,9.82,5.51,8.44,6.3,0.68,0.61,9.25,296.72,-3.57
QZ72,305,subsoil,36.5705,98.7012,3557,10.97,147.74,0.09,112.97,308.91,20.02,6.67,2.09,8.83,6.16,0.75,0.48,8.17,296.72,-3.57
QZ73,306,topsoil,36.4334,98.2085,3203,74.06,170.78,0,238.01,913.81,34.52,3.83,5.33,8.8,5.74,0.61,0.48,9.35,327.41,1.94
QZ74,307,subsoil,36.4334,98.2085,3203,74.06,275.56,0.03,138.97,470.14,28.73,4.21,2.1,8.87,7.63,0.81,0.48,9.42,327.41,1.94
QZ75,308,topsoil,36.0574,98.1311,3407,116.76,144.1,0.11,336.24,2298.23,162.65,77.7,5.02,8.63,18.96,2.12,0.65,8.96,246.91,1.94
QZ76,309,subsoil,36.0574,98.1311,3407,116.76,184.98,0.11,148.21,913.53,191.86,37.98,4.31,8.66,19.49,2.18,0.69,8.94,246.91,1.94
QZ77,310,topsoil,36.0833,97.3833,2796,4.93,,0.02,269.95,832.9,11.6,12.4,4.31,8.79,3.54,0.23,0.59,15.15,171.79,2.7
QZ78,311,subsoil,36.0833,97.3833,2796,4.93,,0.01,116.64,601.97,20.29,33.78,4.87,8.39,2.31,0.21,0.6,11.03,171.79,2.7
QZ79,314,topsoil,36.3719,96.0886,2796,0,0,0,656.39,4742.17,26.43,14.88,4.39,8.74,6.23,0.32,0.49,19.71,62.56,3.33
QZ80,315,subsoil,36.3719,96.0886,2796,0,0,0,775.78,5121.69,18.54,7.23,2.22,8.8,5.74,0.28,0.5,20.3,62.56,3.33
QZ81,316,topsoil,36.4828,95.4088,2897,0,0,0,119.09,549.44,8.81,19.99,1.71,8.71,2.35,0.57,0.5,4.15,49.88,4.83
QZ82,317,subsoil,36.4828,95.4088,2897,0,0,0,67.91,232.63,6.74,22.03,2.03,8.45,2.25,0.74,0.56,3.06,49.88,4.83
QZ83,318,topsoil,35.9043,94.6533,3522,1.36,,0.04,84.85,303.52,5.72,16.14,2.29,8.37,4.3,0.32,0.58,13.62,61.94,4.83
QZ84,319,subsoil,35.9043,94.6533,3522,1.36,,0.04,79.66,329.28,7.83,21.69,3.76,8.33,2.2,0.25,0.42,8.74,61.94,4.83
QZ85,320,topsoil,35.3618,93.9019,4501,121.66,509.55,0.14,88.61,231.1,9.62,9.34,2.46,8.92,5.83,0.67,0.12,8.76,230.2,-2.33
QZ86,321,subsoil,35.3618,93.9019,4501,121.66,113.97,0.08,83.46,208.08,7.25,4.43,2,8.93,5.17,0.55,0.23,9.32,230.2,-2.33
QZ87,322,topsoil,,,4408,106.03,588.19,0.23,168.76,468.18,58.35,30.11,6.46,8.59,21.47,1.84,0.44,11.69,419.56,-3.59
QZ88,323,subsoil,,,4408,106.03,287.51,0.21,148.32,238,19.38,4.13,3.41,8.71,14.74,1.27,0.44,11.61,419.56,-3.59
QZ89,324,topsoil,34.3432,94.9187,4315,105.52,336.53,0.2,175.97,564.59,73.33,70.22,7.68,8.4,25.86,2.27,0.48,11.4,466.01,-3.74
QZ90,325,subsoil,34.3432,94.9187,4315,105.52,411.52,0.17,159.96,535.89,30.38,25.55,3.91,8.41,14.9,1.52,0.44,9.81,466.01,-3.74
QZ91,326,topsoil,34.5436,95.3601,4198,101.93,556.32,0.18,211.34,1082.99,87.5,50.45,7.54,8.62,32.65,2.92,0.5,11.18,188.09,0.02
QZ92,85,subsoil,34.5436,95.3601,4198,101.93,193.46,0.16,149.62,310.13,22.18,21.34,3.99,8.59,20,2.13,0.45,9.37,188.09,0.02
QZ93,106,topsoil,34.022,95.8164,4079,101.04,1409.5,0.36,598.74,3792.41,132.45,44.86,11.79,8.11,60.27,4.54,0.63,13.28,465.56,-4.19
QZ94,86,subsoil,34.022,95.8164,4079,101.04,207.67,0.32,306.67,1352.9,40.75,3.68,5.23,8.61,35.05,3.33,0.44,10.54,465.56,-4.19
QZ95,107,topsoil,33.646,95.8985,4169,121.38,1821.54,0.51,472.09,3734.66,245.59,40.3,20.87,7.72,77.7,5.01,0.59,15.52,465.56,-4.19
QZ96,87,subsoil,33.646,95.8985,4169,121.38,465.73,0.3,364.14,1610.26,58.17,17.53,7.14,8.3,36.54,3.27,0.24,11.17,465.56,-4.19
QZ97,108,topsoil,33.2721,96.365,4255,240.18,1585.13,2.02,451.76,1182.2,27.27,11.95,40.71,7.74,239.04,5.02,0.58,47.64,526.25,-2.77
QZ98,88,subsoil,33.2721,96.365,4255,240.18,2954.27,2.23,2172.22,3735.12,30.77,3.07,19.63,7.7,294.4,,0.58,,526.25,-2.77
QZ99,109,topsoil,33.0651,96.867,3914,100.07,1218.64,0.36,920.07,6738.15,136.37,5.63,8.3,7.74,63.42,5,0.23,12.7,611.55,-1.51
QZ100,89,subsoil,33.0651,96.867,3914,100.07,497.08,0.3,344.14,1136.26,27.73,4.67,4.72,7.91,37.69,3.65,0.23,10.32,611.55,-1.51
QZ101,110,topsoil,33.2493,97.4604,4332,98.34,1250.5,0.6,1017.89,8042.05,305.37,40.84,14.68,6.65,91.45,7.16,0.84,12.77,565.18,-1.51
QZ102,90,subsoil,33.2493,97.4604,4332,98.34,191.04,0.48,267.25,1053.73,40.04,5.79,6.1,6.65,56.48,4.46,0.84,12.66,565.18,-1.51
QZ103,111,topsoil,33.4808,97.9655,4500,136.25,124.36,1.06,449.41,3652.34,338.55,43.12,18.57,6.39,165.85,12.59,0.43,13.17,498.95,-3.07
QZ104,91,subsoil,33.4808,97.9655,4500,136.25,741.12,0.74,253.33,1043.4,124.72,60.41,8.72,6.59,117.02,8.5,0.24,13.77,498.95,-3.07
